Relaxed Chinos,"Water-resistant fabric, ideal for outdoor use.",,45.41
Tapered Lounge Pants,"Outdoor fabric, ideal for indoor use.",,48.25
Breathable Pants,"Stretch-fit fabric, ideal for outdoor use.",,37.88
Quick-dry Jeans,"Water-resistant fabric, ideal for indoor use.",UPF 45,23.36
Slim-fit Pants,"Breathable fabric, ideal for outdoor use.",UPF 30,40.0
Urban Jeans,"Water-resistant fabric, ideal for outdoor use.",UPF 30,41.83
Cargo Jeans,"Breathable fabric, ideal for outdoor use.",UPF 50+,69.48
Tapered Shorts,"Quick-dry fabric, ideal for active use.",UPF 30,37.32
Cargo Track Pants,"High-waist fabric, ideal for active use.",UPF 40,23.21
Eco-friendly Jeans,"Cargo fabric, ideal for travel use.",UPF 30,50.75
Tapered Trousers,"Quick-dry fabric, ideal for active use.",UPF 40,49.46
Tapered Chinos,"Cargo fabric, ideal for outdoor use.",,58.6
Outdoor Joggers,"Tapered fabric, ideal for outdoor use.",UPF 45,60.46
Relaxed Trek Pants,"Lightweight fabric, ideal for active use.",UPF 40,38.89
Water-resistant Lounge Pants,"Water-resistant fabric, ideal for active use.",,33.24
Eco-friendly Lounge Pants,"Cargo fabric, ideal for travel use.",UPF 30,53.36
Breathable Track Pants,"Urban fabric, ideal for travel use.",,36.14
Relaxed Shorts,"Tapered fabric, ideal for indoor use.",UPF 45,35.94
Quick-dry Chinos,"High-waist fabric, ideal for outdoor use.",UPF 50+,25.88
Breathable Chinos,"Urban fabric, ideal for active use.",UPF 45,63.62
Cargo Chinos,"Water-resistant fabric, ideal for travel use.",UPF 45,60.88
Outdoor Pants,"Water-resistant fabric, ideal for travel use.",UPF 50+,66.62
Outdoor Joggers,"Eco-friendly fabric, ideal for travel use.",UPF 45,48.57
Relaxed Lounge Pants,"Relaxed fabric, ideal for travel use.",UPF 45,49.97
Stretch-fit Pants,"Cargo fabric, ideal for travel use.",UPF 30,66.99
Tapered Chinos,"Lightweight fabric, ideal for active use.",UPF 50+,61.72
Stretch-fit Pants,"Slim-fit fabric, ideal for indoor use.",UPF 40,48.46
Cargo Shorts,"Quick-dry fabric, ideal for active use.",UPF 30,41.25
Relaxed Jeans,"Quick-dry fabric, ideal for outdoor use.",,25.06
Outdoor Chinos,"Outdoor fabric, ideal for travel use.",UPF 45,32.32
Quick-dry Trek Pants,"Urban fabric, ideal for outdoor use.",UPF 30,41.52
Stretch-fit Pants,"Quick-dry fabric, ideal for outdoor use.",UPF 45,64.27
Outdoor Pants,"Tapered fabric, ideal for outdoor use.",UPF 45,29.92
Tapered Shorts,"Water-resistant fabric, ideal for active use.",UPF 40,50.69
Slim-fit Joggers,"Outdoor fabric, ideal for active use.",UPF 45,67.88
Breathable Trousers,"Breathable fabric, ideal for travel use.",,49.15
Product Name,Description,Sun Protection Rating,Price (USD)
CoolDry Sun Tee,Moisture-wicking fabric with UPF 50+ sun protection.,UPF 50+,29.99
ActiveFit Cotton Tee,"Basic cotton tee, comfortable for everyday use.",,14.99
SunShield Performance Shirt,Designed for outdoor sports with UPF 40 and quick-dry technology.,UPF 40,39.99
Everyday Crewneck,"Casual wear tee, soft and durable.",,19.99
UVGuard Running Tee,Breathable running shirt with UPF 30 sun protection.,UPF 30,25.5
Classic White Tee,"Classic style, no sun protection.",,9.99
SolarBlock Polo,"Collared shirt with advanced UV blocking, UPF 50+.",UPF 50+,45.0
Lightweight Tank,"Sleeveless tank, minimal sun coverage.",,11.5
EcoSun Tee,"Eco-friendly material with UPF 30, great for hiking.",UPF 30,27.99
BreezeDry Tee,Ultra-lightweight tee with breathable mesh panels.,,18.5
SunDefender Crew,Durable outdoor shirt with reinforced seams and UPF 40.,UPF 40,34.99
ComfortStretch Tee,"Stretchy, everyday tee with no UV protection.",,16.75
TrailGuard Polo,"Stylish polo with UV protection, moisture control.",UPF 50+,41.0
UrbanFit Graphic Tee,Trendy graphic tee with soft cotton blend.,,21.5
UVFlex Long Sleeve Tee,"Long sleeve for extra coverage, UPF 45 rated.",UPF 45,36.25
AirFlow Sports Tee,Designed for maximum airflow during workouts.,,23.0
Slim-fit Shirt,Heavy-duty design with no UV protection.,UPF 45,13.69
Trendy Tank,Breathable design with breathable fabric.,UPF 40,27.96
Classic Top,Breathable design with no UV protection.,UPF 30,40.65
Eco-friendly Shirt,Quick-dry design with breathable fabric.,UPF 30,41.78
Trendy Crewneck,Modern design with moisture control.,UPF 30,15.06
Basic Top,Quick-dry design with moisture control.,UPF 45,20.42
Durable Shirt,Sporty design with no UV protection.,UPF 50+,18.77
Ultra-soft Polo,Basic design with moisture control.,UPF 50+,44.49
Ultra-soft Polo,Modern design with breathable fabric.,UPF 45,39.68
Quick-dry Tee,Modern design with UPF.,,24.02
Ultra-soft Shirt,Classic design with UPF.,UPF 45,13.31
Slim-fit Polo,Stretch-fit design with breathable fabric.,UPF 50+,13.94
Slim-fit Top,Quick-dry design with breathable fabric.,UPF 30,15.29
Slim-fit Top,Collared design with no UV protection.,UPF 40,18.85
Breathable Top,Breathable design with no UV protection.,UPF 30,26.88
Eco-friendly Tee,Durable design with UPF.,UPF 45,12.84
Loose-fit Shirt,Classic design with no UV protection.,UPF 45,37.24
Long-sleeve Top,Basic design with no UV protection.,UPF 50+,17.73
Graphic Crewneck,Collared design with UPF.,,26.56
Basic Top,Sleeveless design with UPF.,UPF 45,24.97
Stretch-fit Polo,Long-sleeve design with no UV protection.,,14.74
Slim-fit Shirt,Graphic design with moisture control.,,42.06
Basic Tank,Collared design with breathable fabric.,UPF 40,40.07
Quick-dry Top,Sporty design with moisture control.,UPF 45,14.93
Graphic Tee,Loose-fit design with no UV protection.,,48.39
Collared Tee,Heavy-duty design with moisture control.,UPF 45,20.29
Heavy-duty Top,Trendy design with moisture control.,UPF 30,29.97
Slim-fit Crewneck,Lightweight design with UPF.,UPF 45,41.54
Stretch-fit Tee,Durable design with no UV protection.,UPF 30,38.01
Collared Polo,Slim-fit design with UPF.,UPF 50+,40.96
Sporty Shirt,Eco-friendly design with UPF.,UPF 30,24.45
Heavy-duty Crewneck,Breathable design with UPF.,UPF 30,20.8
Collared Top,Sporty design with moisture control.,UPF 50+,38.72
Trendy Shirt,Durable design with no UV protection.,UPF 50+,27.2
Slim-fit Polo,Long-sleeve design with UPF.,UPF 45,18.68
Ultra-soft Crewneck,Breathable design with no UV protection.,UPF 50+,21.88
Modern Top,Trendy design with no UV protection.,,42.2
Classic Tank,Collared design with moisture control.,UPF 50+,30.8
Durable Tank,Eco-friendly design with no UV protection.,,21.43
Loose-fit Tank,Sporty design with no UV protection.,UPF 40,10.77
Quick-dry Top,Sleeveless design with breathable fabric.,UPF 40,16.51
Breathable Polo,Collared design with UPF.,,28.25
Quick-dry Top,Quick-dry design with no UV protection.,,45.29
Classic Polo,Stretch-fit design with breathable fabric.,UPF 40,36.48
Sporty Shirt,Basic design with no UV protection.,,30.63
Quick-dry Tank,Slim-fit design with breathable fabric.,UPF 30,30.57
Modern Tee,Modern design with UPF.,UPF 30,16.34
Heavy-duty Shirt,Lightweight design with breathable fabric.,UPF 50+,22.03
Loose-fit Tee,Collared design with breathable fabric.,UPF 45,39.5
Sleeveless Shirt,Heavy-duty design with moisture control.,,21.91
Breathable Shirt,Classic design with no UV protection.,UPF 40,11.12
Sleeveless Tank,Modern design with no UV protection.,UPF 40,35.74
Durable Polo,Modern design with moisture control.,UPF 40,32.09
Durable Top,Ultra-soft design with moisture control.,UPF 50+,45.35
Sporty Tee,Ultra-soft design with no UV protection.,,32.94
Graphic Tank,Modern design with UPF.,UPF 30,38.69
Trendy Shirt,Sporty design with breathable fabric.,UPF 40,39.83
Collared Crewneck,Ultra-soft design with moisture control.,UPF 50+,37.54
Ultra-soft Polo,Stretch-fit design with UPF.,UPF 45,31.79
Sporty Tee,Basic design with UPF.,UPF 50+,24.28
Slim-fit Shirt,Graphic design with no UV protection.,UPF 30,46.53
Collared Top,Loose-fit design with breathable fabric.,UPF 30,39.39
Sporty Crewneck,Long-sleeve design with UPF.,UPF 50+,48.56
Heavy-duty Polo,Basic design with UPF.,UPF 40,32.18
Classic Tee,Ultra-soft design with no UV protection.,UPF 45,47.38
Breathable Shirt,Breathable design with no UV protection.,UPF 45,30.53
Slim-fit Tank,Modern design with moisture control.,UPF 40,47.8
Stretch-fit Tank,Sleeveless design with UPF.,UPF 40,36.14
Ultra-soft Polo,Lightweight design with UPF.,,29.2
Sporty Tank,Heavy-duty design with UPF.,UPF 45,25.21
Eco-friendly Polo,Durable design with UPF.,UPF 30,38.17
Heavy-duty Shirt,Loose-fit design with UPF.,UPF 30,33.25
Loose-fit Crewneck,Sporty design with no UV protection.,UPF 30,11.04
Sleeveless Tee,Classic design with UPF.,UPF 30,24.14
Modern Tank,Heavy-duty design with UPF.,UPF 50+,47.96
Modern Tee,Loose-fit design with no UV protection.,UPF 45,31.44
Trendy Tank,Heavy-duty design with no UV protection.,UPF 40,13.59
Loose-fit Top,Basic design with no UV protection.,UPF 30,16.88
Basic Crewneck,Heavy-duty design with UPF.,UPF 50+,16.59
Sleeveless Tank,Sleeveless design with UPF.,UPF 45,35.91
Graphic Top,Basic design with no UV protection.,UPF 40,39.81
Collared Polo,Collared design with UPF.,UPF 50+,10.19
Collared Polo,Graphic design with UPF.,UPF 50+,41.24
Classic Crewneck,Quick-dry design with no UV protection.,UPF 40,40.71
